"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","22","UnusedImports: Avoid unused imports such as 'com.mongodb.util.JSON'","Best Practices","UnusedImports"
"2","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","22","UnusedImports: Avoid unused imports such as 'com.mongodb.util.JSON'","Best Practices","UnusedImports"
"3","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","4","30","TooManyMethods: This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","4","30","TooManyMethods: This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","47","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"6","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","47","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"7","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","49","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"8","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","49","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"9","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","51","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"10","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","51","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"11","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","53","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"12","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","53","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"13","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","57","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"14","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","57","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"15","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","61","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"16","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","61","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"17","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","83","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"18","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","83","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"19","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","1","97","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"20","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","1","97","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"21","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","97","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"22","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","3","97","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"23","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","104","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"24","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","104","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"25","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","132","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"26","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","132","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"27","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","134","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
